code_insee,pop,nom,nom_court,nom_tres_court
43078,3170,Coubon,Coubon,Coubon
43079,305,Couteuges,Couteuges,Couteuges
43080,2200,Craponne-sur-Arzon,Craponne-sur-A.,Craponne
43081,35,Croisances,Croisances,Croisances
43082,84,Cronce,Cronce,Cronce
43083,143,Cubelles,Cubelles,Cubelles
43084,1736,Cussac-sur-Loire,Cussac-sur-L.,Cussac
43085,67,Desges,Desges,Desges
43086,200,Domeyrat,Domeyrat,Domeyrat
43087,3004,Dunières,Dunières,Dunières
43088,294,Espalem,Espalem,Espalem
43089,3717,Espaly-Saint-Marcel,Espaly-St-M.,Espaly
43090,102,Esplantas,Esplantas,Esplantas
43091,353,Les Estables,Les Estables,Les Estables
43092,428,Fay-sur-Lignon,Fay-sur-L.,Fay
43093,289,Félines,Félines,Félines
43094,90,Ferrussac,Ferrussac,Ferrussac
43095,147,Fix-Saint-Geneys,Fix-St-G.,Fix
43096,1248,Fontannes,Fontannes,Fontannes
43097,143,Freycenet-la-Cuche,Freycenet-la-C.,Freycenet
43098,137,Freycenet-la-Tour,Freycenet-la-T.,Freycenet
43099,516,Frugerès-les-Mines,Frugerès-les-M.,Frugerès
43100,143,Frugières-le-Pin,Frugières-le-P.,Frugières
43101,64,Goudet,Goudet,Goudet
43102,1010,Grazac,Grazac,Grazac
43103,119,Grenier-Montgon,Grenier-M.,Grenier
43104,219,Grèzes,Grèzes,Grèzes
43105,201,Javaugues,Javaugues,Javaugues
43106,137,Jax,Jax,Jax
43107,94,Josat,Josat,Josat
43108,452,Jullianges,Jullianges,Jullianges
43109,65,Lafarre,Lafarre,Lafarre
43110,856,Lamothe,Lamothe,Lamothe
43111,953,Landos,Landos,Landos
43112,4092,Langeac,Langeac,Langeac
43113,1924,Lantriac,Lantriac,Lantriac
43114,1532,Lapte,Lapte,Lapte
43115,1026,Laussonne,Laussonne,Laussonne
43116,63,Laval-sur-Doulon,Laval-sur-D.,Laval
43117,231,Lavaudieu,Lavaudieu,Lavaudieu
43118,316,Lavoûte-Chilhac,Lavoûte-C.,Lavoûte
43119,775,Lavoûte-sur-Loire,Lavoûte-sur-L.,Lavoûte
43120,1348,Lempdes-sur-Allagnon,Lempdes-sur-A.,Lempdes
43121,212,Léotoing,Léotoing,Léotoing
43122,267,Lissac,Lissac,Lissac
